Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
1,US-2024-1001,2024-09-29,2024-10-01,Second Class,CUST-0297,Joseph Anderson,Consumer,Seattle,Washington,West,Office Supplies,Art,Newell Highlighters,4,0.2,34.34,6.96
2,US-2024-1001,2024-09-29,2024-10-01,Second Class,CUST-0297,Joseph Anderson,Consumer,Seattle,Washington,West,Office Supplies,Paper,Xerox 1881 Paper,6,0.15,170.19,4.64
3,US-2024-1001,2024-09-29,2024-10-01,Second Class,CUST-0297,Joseph Anderson,Consumer,Seattle,Washington,West,Office Supplies,Storage,Sterilite File Box,8,0.4,169.58,11.68
4,US-2025-1002,2025-07-30,2025-08-06,Second Class,CUST-0079,Anthony Rodriguez,Corporate,San Antonio,Texas,Central,Office Supplies,Supplies,Stanley Bostitch Stapler,7,0.1,421.66,46.63
5,US-2025-1002,2025-07-30,2025-08-06,Second Class,CUST-0079,Anthony Rodriguez,Corporate,San Antonio,Texas,Central,Office Supplies,Paper,Easy-staple Paper,8,0.1,121.68,22.22
6,US-2025-1002,2025-07-30,2025-08-06,Second Class,CUST-0079,Anthony Rodriguez,Corporate,San Antonio,Texas,Central,Office Supplies,Storage,Sterilite File Box,6,0,321.84,86.72
7,US-2025-1002,2025-07-30,2025-08-06,Second Class,CUST-0079,Anthony Rodriguez,Corporate,San Antonio,Texas,Central,Office Supplies,Labels,Hon Label Maker Tape,1,0,16.47,2.15
8,US-2025-1003,2025-04-12,2025-04-17,Standard Class,CUST-0285,Matthew Martinez,Consumer,Orlando,Florida,South,Office Supplies,Storage,Fellowes File Cart,5,0.15,268.51,23.24
9,US-2025-1003,2025-04-12,2025-04-17,Standard Class,CUST-0285,Matthew Martinez,Consumer,Orlando,Florida,South,Office Supplies,Supplies,Acme Trimmer,9,0.5,138.51,1.05
10,US-2024-1004,2024-12-21,2024-12-28,Standard Class,CUST-0233,Paul Lopez,Corporate,Seattle,Washington,West,Office Supplies,Paper,HP Multipurpose Paper,4,0.1,55.19,11.65
11,US-2025-1005,2025-12-10,2025-12-16,Standard Class,CUST-0145,Joseph Jones,Consumer,Springfield,Illinois,Central,Furniture,Bookcases,Bush Birmingham Bookcase,5,0,388.75,8.95
